ORDERID,ORDERDATE,CUSTOMERID,CUSTOMERNAME,PHONE,EMAIL,PRODUCTID,PRODUCTNAME,CATEGORY,QUANTITY,UNITPRICE,LINEAMOUNT
O00194,2025-05-30,C0531,Kabir Balakrishnan,918185434973,bbansal@gmail.com,P0238,Fear,Home,1,6342.47,6342.47
O00194,2025-05-30,C0531,Kabir Balakrishnan,918185434973,bbansal@gmail.com,P0206,Other,Home,2,16417.86,32835.72
O00195,2025-01-19,C0472,Tiya Bassi,916366979432,dugaldhruv@gmail.com,P0118,Support,Home,2,35996.16,71992.32
O00195,2025-01-19,C0472,Tiya Bassi,916366979432,dugaldhruv@gmail.com,P0434,Foot,Home,2,5572.57,11145.14
O00195,2025-01-19,C0472,Tiya Bassi,916366979432,dugaldhruv@gmail.com,P0307,Much,Fashion,3,27744.18,83232.54
O00195,2025-01-19,C0472,Tiya Bassi,916366979432,dugaldhruv@gmail.com,P0207,Hope,Books,3,31811.6,95434.8
O00195,2025-01-19,C0472,Tiya Bassi,916366979432,dugaldhruv@gmail.com,P0310,Data,Toys,3,32555.16,97665.48
O00196,2025-01-18,C0177,Tarini Subramanian,917423037546,avarughese@gmail.com,P0296,Safe,Grocery,3,6885.75,20657.25
O00196,2025-01-18,C0177,Tarini Subramanian,917423037546,avarughese@gmail.com,P0476,Matter,Books,1,635.14,635.14
O00196,2025-01-18,C0177,Tarini Subramanian,917423037546,avarughese@gmail.com,P0081,Concern,Books,3,17375.63,52126.89
O00196,2025-01-18,C0177,Tarini Subramanian,917423037546,avarughese@gmail.com,P0244,Friend,Grocery,2,44739.64,89479.28
O00197,2024-10-20,C0363,Eshani Sharaf,916263392414,nsastry@gmail.com,P0114,Office,Toys,2,11898.15,23796.3
O00197,2024-10-20,C0363,Eshani Sharaf,916263392414,nsastry@gmail.com,P0438,Build,Fashion,2,25867.34,51734.68
O00197,2024-10-20,C0363,Eshani Sharaf,916263392414,nsastry@gmail.com,P0041,Tend,Toys,2,6624.75,13249.5
O00197,2024-10-20,C0363,Eshani Sharaf,916263392414,nsastry@gmail.com,P0440,Alone,Grocery,3,27504.54,82513.62
O00197,2024-10-20,C0363,Eshani Sharaf,916263392414,nsastry@gmail.com,P0354,Among,Electronics,2,42154.64,84309.28
O00198,2024-09-08,C0279,Amira Bhalla,919143913654,saranvritika@gmail.com,P0289,Well,Grocery,2,4903.97,9807.94
O00198,2024-09-08,C0279,Amira Bhalla,919143913654,saranvritika@gmail.com,P0319,Friend,Electronics,1,17520.15,17520.15
O00199,2025-03-05,C0524,Anya Biswas,916722937890,kabirsani@gmail.com,P0037,Hundred,Books,2,36049.73,72099.46
O00199,2025-03-05,C0524,Anya Biswas,916722937890,kabirsani@gmail.com,P0006,Worker,Grocery,3,22450.55,67351.65
O00199,2025-03-05,C0524,Anya Biswas,916722937890,kabirsani@gmail.com,P0029,Technology,Grocery,2,1746.82,3493.64
O00199,2025-03-05,C0524,Anya Biswas,916722937890,kabirsani@gmail.com,P0454,Later,Fashion,3,39383.95,118151.85
O00199,2025-03-05,C0524,Anya Biswas,916722937890,kabirsani@gmail.com,P0019,Such,Fashion,1,14547.49,14547.49
O00200,2025-04-22,C0442,Indrans Sarma,918997701440,alia83@gmail.com,P0390,Hard,Books,3,47047.15,141141.45
O00200,2025-04-22,C0442,Indrans Sarma,918997701440,alia83@gmail.com,P0362,Thank,Fashion,3,18203.86,54611.58
O00200,2025-04-22,C0442,Indrans Sarma,918997701440,alia83@gmail.com,P0406,Until,Fashion,3,35664.69,106994.07
O00201,2025-04-17,C0098,Priyansh Dutt,919462330079,bdass@gmail.com,P0429,Free,Books,2,25226.17,50452.34
O00201,2025-04-17,C0098,Priyansh Dutt,919462330079,bdass@gmail.com,P0222,Wrong,Fashion,1,16593.23,16593.23
O00202,2025-08-27,C0935,Neysa Bobal,916844858404,raumehul@gmail.com,P0418,Health,Toys,1,11635.18,11635.18
O00202,2025-08-27,C0935,Neysa Bobal,916844858404,raumehul@gmail.com,P0095,Four,Grocery,3,43421.39,130264.17
O00202,2025-08-27,C0935,Neysa Bobal,916844858404,raumehul@gmail.com,P0293,Money,Grocery,1,486.78,486.78
O00202,2025-08-27,C0935,Neysa Bobal,916844858404,raumehul@gmail.com,P0053,Time,Home,2,28738.91,57477.82
O00202,2025-08-27,C0935,Neysa Bobal,916844858404,raumehul@gmail.com,P0203,Fund,Fashion,1,11474.77,11474.77
O00203,2025-03-04,C0356,Arhaan Bhatnagar,916014460760,danimanjari@gmail.com,P0276,All,Books,2,17066.13,34132.26
O00203,2025-03-04,C0356,Arhaan Bhatnagar,916014460760,danimanjari@gmail.com,P0457,Which,Books,2,25557.49,51114.98
O00203,2025-03-04,C0356,Arhaan Bhatnagar,916014460760,danimanjari@gmail.com,P0356,Paper,Books,2,1746.39,3492.78
O00203,2025-03-04,C0356,Arhaan Bhatnagar,916014460760,danimanjari@gmail.com,P0394,Strategy,Fashion,3,24240.67,72722.01
O00203,2025-03-04,C0356,Arhaan Bhatnagar,916014460760,danimanjari@gmail.com,P0442,Line,Grocery,3,48049.73,144149.19
